username,repo_name,stars,repo_url
crystal-lang,crystal,"19,208",https://github.com/crystal-lang/crystal
kemalcr,kemal,"3,594",https://github.com/kemalcr/kemal
veelenga,awesome-crystal,"3,329",https://github.com/veelenga/awesome-crystal
luckyframework,lucky,"2,569",https://github.com/luckyframework/lucky
amberframework,amber,"2,568",https://github.com/amberframework/amber
getmango,Mango,"1,679",https://github.com/getmango/Mango
vitobotta,hetzner-k3s,"1,561",https://github.com/vitobotta/hetzner-k3s
ffwff,lilith,"1,147",https://github.com/ffwff/lilith
drujensen,fib,854,https://github.com/drujensen/fib
amethyst-framework,amethyst,648,https://github.com/amethyst-framework/amethyst
hanabi1224,Programming-Language-Benchmarks,613,https://github.com/hanabi1224/Programming-Language-Benchmarks
askn,crystal-by-example,548,https://github.com/askn/crystal-by-example
owasp-noir,noir,527,https://github.com/owasp-noir/noir
crystal-ameba,ameba,509,https://github.com/crystal-ameba/ameba
crystal-community,icr,501,https://github.com/crystal-community/icr
will,crystal-pg,460,https://github.com/will/crystal-pg
elbywan,crystalline,424,https://github.com/elbywan/crystalline
imdrasil,jennifer.cr,414,https://github.com/imdrasil/jennifer.cr
vim-crystal,vim-crystal,412,https://github.com/vim-crystal/vim-crystal
martenframework,marten,396,https://github.com/martenframework/marten
